t,echo_plus,echo_minus,echo_thermal
5.336683417085427372e+00,5.074808178295572292e-01,5.074536616830749303e-01,6.158077291032498964e-03
5.427135678391960205e+00,5.474358767415350435e-01,5.473258465653985105e-01,5.527435273479788976e-03
5.517587939698493038e+00,5.871085874704030649e-01,5.869043291452926692e-01,3.855026885264399225e-03
5.608040201005024983e+00,6.262448314802715466e-01,6.259377676153240477e-01,2.071219483176533083e-03
5.698492462311557816e+00,6.645917270981682723e-01,6.641777355865190469e-01,8.467078179230253529e-04
5.788944723618090649e+00,7.018990658590640308e-01,7.013801044868855916e-01,2.680335949195380985e-04
5.879396984924623482e+00,7.379210147714997392e-01,7.373062771350686884e-01,7.747281428339341874e-05
5.969849246231156314e+00,7.724180980383251738e-01,7.717243136361178202e-01,2.898280403293032758e-05
6.060301507537688259e+00,8.051594024295992691e-01,8.044100385601821168e-01,1.781530314557609697e-05
6.150753768844221092e+00,8.359248862445954886e-01,8.351482411705071218e-01,2.922894263232986371e-05
6.241206030150753925e+00,8.645076323350072700e-01,8.637340685595183976e-01,9.997326171978398763e-05
6.331658291457286758e+00,8.907158844792606445e-01,8.899746656391892552e-01,3.120350252543138887e-04
6.422110552763819591e+00,9.143747458207661660e-01,9.136910472451237331e-01,7.016414190916017268e-04
6.512562814070351536e+00,9.353274877378862096e-01,9.347201146835188990e-01,1.128703319424066839e-03
6.603015075376884369e+00,9.534364969658378763e-01,9.529166721746611390e-01,1.323069135996535715e-03
6.693467336683417201e+00,9.685839537213208894e-01,9.681552737975666068e-01,1.133929196261248672e-03
6.783919597989950034e+00,9.806723636181584602e-01,9.803317456269701191e-01,7.066523135935100968e-04
6.874371859296482867e+00,9.896250518160356613e-01,9.893642766949320988e-01,3.801345761677641234e-04
6.964824120603015700e+00,9.953866740810132230e-01,9.951940425314594885e-01,4.307250760417075650e-04
7.055276381909547645e+00,9.979237245420016222e-01,9.977853972547970907e-01,9.142094218290388501e-04
7.145728643216080478e+00,9.972249497816786379e-01,9.971257255897558736e-01,1.692456455548594025e-03
7.236180904522613311e+00,9.933015384944567927e-01,9.932250713806834996e-01,2.545828739980236354e-03
7.326633165829146144e+00,9.861869609169882089e-01,9.861156497584222524e-01,3.234597619151911678e-03
7.417085427135678977e+00,9.759363833530377841e-01,9.758513116400213683e-01,3.497418159973582092e-03
7.507537688442210921e+00,9.626256656369788223e-01,9.625069751999189016e-01,3.132779612672463576e-03
7.597989949748743754e+00,9.463500376315222562e-01,9.461779867868012062e-01,2.215132378001218299e-03
7.688442211055276587e+00,9.272226165615641280e-01,9.269793397770255128e-01,1.180866926864559529e-03
7.778894472361809420e+00,9.053729486035735352e-01,9.050446746098895767e-01,5.334969834898348759e-04
7.869346733668342253e+00,8.809457280905654830e-01,8.805250086302660595e-01,4.285061269259153008e-04
7.959798994974875086e+00,8.540997749391252558e-01,8.535871931819091207e-01,6.464858334047674264e-04
8.050251256281407919e+00,8.250072581116965065e-01,8.244121535387511912e-01,9.591779883168056412e-04
8.140703517587940752e+00,7.938530689265897999e-01,7.931930178038451018e-01,1.373537373094856203e-03
